13.03.2018                                                                                        Dynamic List Display                                                                                                1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13.03.2018                                                                                          Lantek Details data                                                                                             1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lantek Details data
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Order     |Total order quantity|BUn|Material   |Document            |Vers|Material Description                    |MRP controller|Basic Start Date|Basic finish date|Material   |Customer material number           |
| 1032936773|                  2 |EA |E007.A30453|9106012394          |01  |9106012394 PLATE t=40 S355N             |E52           |13.02.2018      |05.03.2018       |B001.A04186|                                   |
| 1032936776|                  2 |EA |E007.A36694|5283149PA           |01  |5283149, plate, t=40, S355J2+N          |E52           |13.02.2018      |27.02.2018       |B001.A04186|                                   |
| 1032936780|                  8 |EA |E007.A14946|9106001436          |04  |PART T=40 S355J2G3 9106001436           |E52           |13.02.2018      |01.03.2018       |B001.A04186|                                   |
| 1032936965|                  8 |EA |E007.A14951|9106001446          |02  |PART T=20 S355J2G3 9106001446           |E52           |14.02.2018      |27.02.2018       |B001.A02743|                                   |
| 1032936976|                  4 |EA |E007.A34150|5590016937PA        |1   |5590016937PA PLATE t=25 S355N           |E52           |14.02.2018      |19.02.2018       |B001.A02677|                                   |
| 1032936981|                  4 |EA |E007.A27492|9106221329          |01  |9106221329 ATTACHMENT T=25 S355J2       |E52           |05.03.2018      |06.03.2018       |B001.A02677|                                   |
| 1032937025|                  2 |EA |E007.A08480|A49869.0100 PA01    |05  |A49869.0100 PLATE FRONT S355MC T=20     |E52           |10.02.2018      |20.02.2018       |B001.A02743|                                   |
| 1032937031|                  2 |EA |E007.A03435|100879.01           |03  |100879.01 FRONTPLATE T=20               |E52           |10.02.2018      |21.02.2018       |B001.A02743|                                   |
| 1032937128|                  6 |EA |E007.A40953|P0001               |01  |P0001, plate, 105x60, T=20              |E52           |15.02.2018      |21.02.2018       |B001.A04354|                                   |
| 1032937360|                  4 |EA |E007.A37156|A27344.0361PA2      |01  |A27344.0361PA2 T=40 PLATE               |E52           |22.02.2018      |01.03.2018       |B001.A04186|                                   |
| 1032937361|                  4 |EA |E007.A37157|A27344.0357PA2      |02  |A27344.0357PA2 T=40 PLATE               |E52           |22.02.2018      |01.03.2018       |B001.A04186|                                   |
| 1032937425|                  8 |EA |E007.A03434|100877.01_PA06      |03  |100877.01 BATH/WANNA T=25               |E52           |24.02.2018      |02.03.2018       |B001.A02677|                                   |
| 1032937439|                  1 |EA |E007.A36424|100928.03-1B-PZ_PA03|01  |100928.03-1B-PZ PLATE 6829 X 770 X 15   |E52           |10.03.2018      |12.03.2018       |B001.A04507|                                   |
| 1032937441|                  1 |EA |E007.A40933|100928.04_1LZ_V14   |01  |100928.04_1LZ_V14 PLATE 6829X770X15     |E52           |27.02.2018      |03.03.2018       |B001.A04507|                                   |
| 1032937442|                  1 |EA |E007.A40934|100928.04_1LW_V14   |09  |100928.04_1LW_V14 PLATE 6829X770X15     |E52           |12.03.2018      |12.03.2018       |B001.A04507|                                   |
| 1032937443|                  1 |EA |E007.A40935|100928.03_1PW_V14   |12  |100928.03_1PW_V14 PLATE 6829X770X15     |E52           |12.03.2018      |12.03.2018       |B001.A04507|                                   |
| 1032937663|                  2 |EA |E007.A35435|5266956             |00  |5266956, t=12, S690QL, Pokrywa (U NAS)  |E52           |26.02.2018      |05.03.2018       |B001.A05930|                                   |
| 1032937674|                  2 |EA |E007.A16493|100883.02W PA04     |03  |100883.02W T=15 S355N                   |E52           |03.03.2018      |08.03.2018       |B001.A06272|                                   |
| 1032937682|                  1 |EA |E007.A33230|101453.01-3AW_PA    |01  |101453.01-3aW (przod) Plate2230x265 T=25|E52           |08.03.2018      |09.03.2018       |B001.A02677|                                   |
